,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
51630,True,False,0,False,0,True
51792,False,True,0,True,2,True
52016,False,True,0,True,2,False
52144,False,True,0,False,1,False
52149,False,True,0,True,2,True
52197,False,False,0,True,2,False
52291,False,True,0,True,2,True
52491,False,False,0,False,0,False
52505,False,True,0,False,1,False
52633,False,True,0,False,1,False
52832,False,True,0,False,2,False
52879,False,False,0,False,0,False
52897,False,True,0,False,2,False
52901,False,True,0,False,2,False
53997,False,True,0,False,0,False
54031,False,True,0,False,0,False
54093,False,True,0,False,1,True
54135,True,False,0,False,1,True
54185,False,True,0,False,0,True
54200,False,True,0,True,2,True
54357,False,True,0,False,0,True
54434,False,True,0,False,0,False
54499,True,False,0,False,0,True
54501,True,False,0,False,1,True
54843,False,True,0,False,0,False
54916,False,True,0,False,1,True
55001,True,False,0,False,0,True
55002,True,False,0,False,0,True
55031,False,True,0,False,0,True
55075,False,True,0,False,1,False
55137,False,True,0,False,0,False
55382,False,True,0,False,0,True
55439,False,True,0,True,2,True
55520,False,True,0,False,0,False
55533,False,True,0,True,1,False
55572,False,True,0,False,0,False
55625,True,False,0,False,1,True
55654,True,False,0,False,0,True
55731,True,False,0,False,1,True
56026,False,True,0,False,0,False
56077,False,True,0,False,0,False
56138,False,True,0,False,1,True
56451,True,False,0,False,0,True
56484,False,True,0,False,0,True
56503,False,True,0,False,0,False
56507,False,True,0,False,0,False
56512,True,False,0,False,1,True
56521,False,True,0,True,2,True
56525,False,True,0,True,1,False
56548,True,False,0,False,0,True
56550,False,True,0,False,0,True
56589,True,False,0,False,1,True
56595,False,True,0,True,0,False
56605,True,False,0,False,0,True
56766,False,True,0,False,0,False
56801,False,True,0,False,0,False
56852,True,False,0,False,0,True
56861,False,True,0,False,1,True
56894,False,True,0,False,0,True
56904,False,True,0,False,0,False
56908,False,True,0,True,2,True
56940,False,True,0,False,1,False
56987,True,False,0,False,1,True
57042,True,False,0,False,1,True
57070,True,False,0,False,0,True
57321,False,True,0,False,0,False
57550,True,False,0,False,1,True
58027,False,True,0,True,2,True
58128,True,False,0,False,1,True
58130,True,False,0,False,0,True
58226,False,True,0,False,0,False
58275,False,True,0,False,0,False
58295,True,False,0,False,0,True
58340,True,False,0,False,0,True
58378,True,False,0,False,1,True
58458,False,True,0,False,0,False
58486,False,True,0,True,2,True
58490,False,True,0,False,0,True
58678,False,True,0,False,0,True
58868,True,False,0,False,0,True
59434,False,True,0,True,2,True
59461,False,True,0,False,1,True
59591,False,True,0,False,1,False
59601,False,True,0,True,2,False
59707,False,True,0,False,1,False
59751,False,False,0,True,2,False
60013,False,True,0,False,1,False
60298,False,True,0,False,1,False
60340,False,False,0,False,0,False
60479,True,False,0,False,1,True
61402,False,True,0,False,0,False
61438,False,True,0,False,0,False
61442,False,True,0,False,0,True
61508,False,True,0,True,1,False
61512,False,True,0,False,0,False
61536,False,True,0,True,1,False
61589,False,True,0,False,1,True
61625,True,False,0,False,1,True
61670,False,True,0,False,0,True
61684,False,True,0,True,2,True
61902,False,True,0,False,0,False
61962,True,False,0,False,0,True
61964,True,False,0,False,0,True
62207,False,True,0,False,0,False
62260,True,False,0,False,0,True
62276,False,True,0,False,0,True
62409,False,True,0,True,1,False
62476,False,True,0,False,1,True
62552,True,False,0,False,0,True
62645,False,True,0,True,1,False
62677,False,True,0,False,0,False
62909,False,True,0,False,0,True
62958,False,True,0,True,2,True
63032,False,True,0,False,0,False
63042,False,True,0,True,1,False
63077,False,True,0,False,0,False
63125,True,False,0,False,0,True
63149,True,False,0,False,0,True
63217,True,False,0,False,1,True
63330,False,True,0,False,0,False
63502,False,True,0,False,0,True
63527,True,False,0,False,0,True
63552,False,True,0,False,0,False
63602,False,True,0,False,0,False
63644,False,True,0,True,1,False
63695,False,True,0,False,1,True
63831,False,True,0,True,1,False
63955,True,False,0,False,0,True
63963,False,True,0,False,0,False
63986,False,True,0,False,0,True
64003,False,True,0,False,0,False
64007,False,True,0,False,0,False
64011,True,False,0,False,1,True
64013,False,True,0,False,1,False
64019,False,True,0,True,2,True
64043,True,False,0,False,0,True
64077,True,False,0,False,0,True
64207,False,True,0,False,0,True
64213,False,True,0,False,0,False
64244,False,True,0,False,0,True
64255,False,True,0,False,0,False
64266,True,False,0,False,0,True
64277,True,False,0,False,0,True
64341,False,True,0,False,0,False
64370,False,True,0,True,1,False
64460,False,True,0,False,0,False
64464,False,True,0,True,2,True
64492,False,True,0,False,1,False
64534,True,False,0,False,0,True
64586,True,False,0,False,1,True
64612,True,False,0,False,0,True
64822,False,True,0,False,0,False
65115,True,False,0,False,1,True
65508,False,True,0,True,2,True
65649,False,True,0,False,0,False
65672,False,True,0,False,0,True
65707,True,False,0,False,0,True
65709,True,False,0,False,0,True
65714,False,True,0,True,1,False
65723,False,True,0,False,0,False
65775,False,True,0,False,0,False
65791,False,True,0,False,0,False
65816,False,True,0,True,1,False
65834,True,False,0,False,0,True
